RE 1:9.20 . νήσῳ νήσῳ N-DSF 3520 νῆσος ! νῆσος
RE 1:9.21 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
RE 1:9.22 . καλουμένῃ καλουμένῃ V-PPP-DSF 2564 καλέω ! καλέω
RE 1:9.23 . Πάτμῳ Πάτμῳ N-DSF 3963 Πάτμος ! Πάτμος
RE 1:9.24 . διὰ διὰ PREP 1223 διά ! διά
RE 1:9.25 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
RE 1:9.26 . λόγον λόγον N-ASM 3056 λόγος ! λόγος
RE 1:9.27 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
RE 1:9.28 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
RE 1:9.29 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:9.30 . διὰ διὰ PREP 1223 διά ! διά
RE 1:9.31 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
RE 1:9.32 . μαρτυρίαν μαρτυρίαν N-ASF 3141 μαρτυρία ! μαρτυρία
RE 1:9.33 . Ἰησοῦ. Ἰησοῦ. N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
RE 1:10.1 . ἐγενόμην ἐγενόμην V-2ADI-1S 1096 γίνομαι ! γίνομαι
RE 1:10.2 . ἐν ἐν PREP 1722 ἐν ! ἐν
RE 1:10.3 . πνεύματι πνεύματι N-DSN 4151 πνεῦμα ! πνεῦμα
RE 1:10.4 . ἐν ἐν PREP 1722 ἐν ! ἐν
RE 1:10.5 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
RE 1:10.6 . κυριακῇ κυριακῇ A-DSF 2960 κυριακός ! κυριακός
RE 1:10.7 . ἡμέρᾳ, ἡμέρᾳ, N-DSF 2250 ἡμέρα ! ἡμέρα
RE 1:10.8 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:10.9 . ἤκουσα ἤκουσα V-AAI-1S 191 ἀκούω ! ἀκούω
RE 1:10.10 . ὀπίσω ὀπίσω ADV 3694 ὀπίσω ! ὀπίσω
RE 1:10.11 . μου μου P-1GS 1473 ἐγώ ! ἐγώ
RE 1:10.12 . φωνὴν φωνὴν N-ASF 5456 φωνή ! φωνή
RE 1:10.13 . μεγάλην μεγάλην A-ASF 3173 μέγας ! μέγας
RE 1:10.14 . ὡς ὡς ADV 5613 ὡς ! ὡς
RE 1:10.15 . σάλπιγγος σάλπιγγος N-GSF 4536 σάλπιγξ ! σάλπιγξ
RE 1:11.1 . λεγούσης, λεγούσης, V-PAP-GSF 3004 λέγω ! λέγω
RE 1:11.2 . ὃ ὃ R-ASN 3739 ὅς ! ὅς
RE 1:11.3 . βλέπεις βλέπεις V-PAI-2S 991 βλέπω ! βλέπω
RE 1:11.4 . γράψον γράψον V-AAM-2S 1125 γράφω ! γράφω
RE 1:11.5 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:11.6 . βιβλίον βιβλίον N-ASN 975 βιβλίον ! βιβλίον
RE 1:11.7 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:11.8 . πέμψον πέμψον V-AAM-2S 3992 πέμπω ! πέμπω
RE 1:11.9 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
RE 1:11.10 . ἑπτὰ ἑπτὰ A-NUI 2033 ἑπτά ! ἑπτά
RE 1:11.11 . ἐκκλησίαις, ἐκκλησίαις, N-DPF 1577 ἐκκλησία ! ἐκκλησία
RE 1:11.12 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:11.13 . Ἔφεσον Ἔφεσον N-ASF 2181 Ἔφεσος ! Ἔφεσος
RE 1:11.14 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:11.15 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:11.16 . Ζμύρναν Ζμύρναν N-ASF 4667 Σμύρνα ! Σμύρνα
RE 1:11.17 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:11.18 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:11.19 . Πέργαμον Πέργαμον N-ASF 4010 Πέργαμος ! Πέργαμος
RE 1:11.20 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:11.21 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:11.22 . Θυάτειρα Θυάτειρα N-APN 2363 Θυάτειρα ! Θυάτειρα
RE 1:11.23 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:11.24 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:11.25 . Σάρδεις Σάρδεις N-APF 4554 Σάρδεις ! Σάρδεις
RE 1:11.26 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:11.27 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:11.28 . Φιλαδελφίαν Φιλαδελφίαν N-ASF 5360 φιλαδελφία ! φιλαδελφία
RE 1:11.29 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:11.30 . εἰς εἰς PREP 1519 εἰς ! εἰς
RE 1:11.31 . Λαοδίκιαν. Λαοδίκιαν. N-ASF 2993 Λαοδίκεια ! Λαοδίκεια
RE 1:12.1 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:12.2 . ἐπέστρεψα ἐπέστρεψα V-AAI-1S 1994 ἐπιστρέφω ! ἐπιστρέφω
RE 1:12.3 . βλέπειν βλέπειν V-PAN 991 βλέπω ! βλέπω
RE 1:12.4 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
RE 1:12.5 . φωνὴν φωνὴν N-ASF 5456 φωνή ! φωνή
RE 1:12.6 . ἥτις ἥτις R-NSF 3748 ὅστις ! ὅστις
RE 1:12.7 . ἐλάλει ἐλάλει V-IAI-3S 2980 λαλέω ! λαλέω
RE 1:12.8 . μετ’ μετ’ PREP 3326 μετά ! μετά
RE 1:12.9 . ἐμοῦ· ἐμοῦ· P-1GS 1473 ἐγώ ! ἐγώ
RE 1:12.10 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:12.11 . ἐπιστρέψας ἐπιστρέψας V-AAP-NSM 1994 ἐπιστρέφω ! ἐπιστρέφω
RE 1:12.12 . εἶδον εἶδον V-2AAI-1S 3708 ὁράω ! ὁράω
RE 1:12.13 . ἑπτὰ ἑπτὰ A-NUI 2033 ἑπτά ! ἑπτά
RE 1:12.14 . λυχνίας λυχνίας N-APF 3087 λυχνία ! λυχνία
RE 1:12.15 . χρυσᾶς, χρυσᾶς, A-APF 5552 χρύσεος ! χρυσοῦς
RE 1:13.1 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:13.2 . ἐν ἐν PREP 1722 ἐν ! ἐν
RE 1:13.3 . μέσῳ μέσῳ A-DSN 3319 μέσος ! μέσος
RE 1:13.4 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
RE 1:13.5 . λυχνιῶν λυχνιῶν N-GPF 3087 λυχνία ! λυχνία
RE 1:13.6 . ὅμοιον ὅμοιον A-ASM 3664 ὅμοιος ! ὅμοιος
RE 1:13.7 . υἱὸν υἱὸν N-ASM 5207 υἱός ! υἱός
RE 1:13.8 . ἀνθρώπου, ἀνθρώπου, N-GSM 444 ἄνθρωπος ! ἄνθρωπος
RE 1:13.9 . ἐνδεδυμένον ἐνδεδυμένον V-RMP-ASM 1746 ἐνδύω ! ἐνδύω
RE 1:13.10 . ποδήρη ποδήρη A-ASM 4158 ποδήρης ! ποδήρης
RE 1:13.11 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:13.12 . περιεζωσμένον περιεζωσμένον V-RPP-ASM 4024 περιζώννυμι ! περιζώννυμι
RE 1:13.13 . πρὸς πρὸς PREP 4314 πρός ! πρός
RE 1:13.14 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
RE 1:13.15 . μασθοῖς μασθοῖς N-DPM 3149 μαστός ! μαστός
RE 1:13.16 . ζώνην ζώνην N-ASF 2223 ζώνη ! ζώνη
RE 1:13.17 . χρυσᾶν· χρυσᾶν· A-ASF 5552 χρύσεος ! χρυσοῦς
RE 1:14.1 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
RE 1:14.2 . δὲ δὲ CONJ 1161 δέ ! δέ
RE 1:14.3 . κεφαλὴ κεφαλὴ N-NSF 2776 κεφαλή ! κεφαλή
RE 1:14.4 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
RE 1:14.5 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:14.6 . αἱ αἱ T-NPF 3588 ὁ ! ὁ
RE 1:14.7 . τρίχες τρίχες N-NPF 2359 θρίξ ! θρίξ
RE 1:14.8 . λευκαὶ λευκαὶ A-NPF 3022 λευκός ! λευκός
RE 1:14.9 . ὡς ὡς ADV 5613 ὡς ! ὡς
RE 1:14.10 . ἔριον ἔριον N-NSN 2053 ἔριον ! ἔριον
RE 1:14.11 . λευκόν, λευκόν, A-NSN 3022 λευκός ! λευκός
RE 1:14.12 . ὡς ὡς ADV 5613 ὡς ! ὡς
RE 1:14.13 . χιών, χιών, N-NSF 5510 χιών ! χιών
