2TH 1:10.17 . μαρτύριον μαρτύριον N-NSN 3142 μαρτύριον ! μαρτύριον
2TH 1:10.18 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TH 1:10.19 . ἐφ’ ἐφ’ PREP 1909 ἐπί ! ἐπί
2TH 1:10.20 . ὑμᾶς, ὑμᾶς, P-2AP 5210 ὑμεῖς ! σύ
2TH 1:10.21 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:10.22 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2TH 1:10.23 . ἡμέρᾳ ἡμέρᾳ N-DSF 2250 ἡμέρα ! ἡμέρα
2TH 1:10.24 . ἐκείνῃ. ἐκείνῃ. D-DSF 1565 ἐκεῖνος ! ἐκεῖνος
2TH 1:11.1 . Εἰς Εἰς PREP 1519 εἰς ! εἰς
2TH 1:11.2 . ὃ ὃ R-ASN 3739 ὅς ! ὅς
2TH 1:11.3 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:11.4 . προσευχόμεθα προσευχόμεθα V-PNI-1P 4336 προσεύχομαι ! προσεύχομαι
2TH 1:11.5 . πάντοτε πάντοτε ADV 3842 πάντοτε ! πάντοτε
2TH 1:11.6 . περὶ περὶ PREP 4012 περί ! περί
2TH 1:11.7 . ὑμῶν, ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
2TH 1:11.8 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
2TH 1:11.9 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2TH 1:11.10 . ἀξιώσῃ ἀξιώσῃ V-AAS-3S 515 ἀξιόω ! ἀξιόω
2TH 1:11.11 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:11.12 . κλήσεως κλήσεως N-GSF 2821 κλῆσις ! κλῆσις
2TH 1:11.13 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2TH 1:11.14 . θεὸς θεὸς N-NSM 2316 θεός ! θεός
2TH 1:11.15 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TH 1:11.16 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:11.17 . πληρώσῃ πληρώσῃ V-AAS-3S 4137 πληρόω ! πληρόω
2TH 1:11.18 . πᾶσαν πᾶσαν A-ASF 3956 πᾶς ! πᾶς
2TH 1:11.19 . εὐδοκίαν εὐδοκίαν N-ASF 2107 εὐδοκία ! εὐδοκία
2TH 1:11.20 . ἀγαθωσύνης ἀγαθωσύνης N-GSF 19 ἀγαθωσύνη ! ἀγαθωσύνη
2TH 1:11.21 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:11.22 . ἔργον ἔργον N-ASN 2041 ἔργον ! ἔργον
2TH 1:11.23 . πίστεως πίστεως N-GSF 4102 πίστις ! πίστις
2TH 1:11.24 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:11.25 . δυνάμει, δυνάμει, N-DSF 1411 δύναμις ! δύναμις
2TH 1:12.1 . ὅπως ὅπως ADV 3704 ὅπως ! ὅπως
2TH 1:12.2 . ἐνδοξασθῇ ἐνδοξασθῇ V-APS-3S 1740 ἐνδοξάζω ! ἐνδοξάζομαι
2TH 1:12.3 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
2TH 1:12.4 . ὄνομα ὄνομα N-NSN 3686 ὄνομα ! ὄνομα
2TH 1:12.5 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:12.6 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:12.7 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TH 1:12.8 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:12.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:12.10 . ὑμῖν, ὑμῖν, P-2DP 5210 ὑμεῖς ! σύ
2TH 1:12.11 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:12.12 . ὑμεῖς ὑμεῖς P-2NP 5210 ὑμεῖς ! σύ
2TH 1:12.13 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:12.14 . αὐτῷ, αὐτῷ, P-DSM 846 αὐτός ! αὐτός
2TH 1:12.15 . κατὰ κατὰ PREP 2596 κατά ! κατά
2TH 1:12.16 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2TH 1:12.17 . χάριν χάριν N-ASF 5485 χάρις ! χάρις
2TH 1:12.18 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:12.19 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2TH 1:12.20 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TH 1:12.21 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:12.22 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:12.23 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:12.24 . Χριστοῦ. Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
2TH 2:1.1 C Ἐρωτῶμεν Ἐρωτῶμεν V-PAI-1P 2065 ἐρωτάω ! ἐρωτάω
2TH 2:1.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2TH 2:1.3 . ὑμᾶς, ὑμᾶς, P-2AP 5210 ὑμεῖς ! σύ
2TH 2:1.4 . ἀδελφοί, ἀδελφοί, N-VPM 80 ἀδελφός ! ἀδελφός
2TH 2:1.5 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2TH 2:1.6 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 2:1.7 . παρουσίας παρουσίας N-GSF 3952 παρουσία ! παρουσία
2TH 2:1.8 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 2:1.9 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2TH 2:1.10 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TH 2:1.11 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 2:1.12 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2TH 2:1.13 . καὶ καὶ CONJ 2532 καί ! καί
2TH 2:1.14 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TH 2:1.15 . ἐπισυναγωγῆς ἐπισυναγωγῆς N-GSF 1997 ἐπισυναγωγή ! ἐπισυναγωγή
2TH 2:1.16 . ἐπ’ ἐπ’ PREP 1909 ἐπί ! ἐπί
2TH 2:1.17 . αὐτόν, αὐτόν, P-ASM 846 αὐτός ! αὐτός
2TH 2:2.1 . εἰς εἰς PREP 1519 εἰς ! εἰς
2TH 2:2.2 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2TH 2:2.3 . μὴ μὴ PRT-N 3361 μή ! μή
2TH 2:2.4 . ταχέως ταχέως ADV 5030 ταχέως ! ταχέως
2TH 2:2.5 . σαλευθῆναι σαλευθῆναι V-APN 4531 σαλεύω ! σαλεύω
2TH 2:2.6 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
