MT 1:16.8 . Μαρίας, Μαρίας, N-GSF 3137 Μαρία ! Μαρία
MT 1:16.9 . ἐξ ἐξ PREP 1537 ἐκ ! ἐκ
MT 1:16.10 . ἧς ἧς R-GSF 3739 ὅς ! ὅς
MT 1:16.11 . ἐγεννήθη ἐγεννήθη V-API-3S 1080 γεννάω ! γεννάω
MT 1:16.12 . Ἰησοῦς Ἰησοῦς N-NSM 2424 Ἰησοῦς ! Ἰησοῦς
MT 1:16.13 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
MT 1:16.14 . λεγόμενος λεγόμενος V-PPP-NSM 3004 λέγω ! λέγω
MT 1:16.15 . Χριστός. Χριστός. N-NSM 5547 Χριστός ! Χριστός
MT 1:17.1 . Πᾶσαι Πᾶσαι A-NPF 3956 πᾶς ! πᾶς
MT 1:17.2 . οὖν οὖν CONJ 3767 οὖν ! οὖν
MT 1:17.3 . αἱ αἱ T-NPF 3588 ὁ ! ὁ
MT 1:17.4 . γενεαὶ γενεαὶ N-NPF 1074 γενεά ! γενεά
MT 1:17.5 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
MT 1:17.6 . Ἀβραὰμ Ἀβραὰμ N-PRI 11 Ἀβραάμ ! Ἀβραάμ
MT 1:17.7 . ἕως ἕως ADV 2193 ἕως ! ἕως
MT 1:17.8 . Δαυεὶδ Δαυεὶδ N-PRI 1138 Δαβίδ ! Δαυίδ
MT 1:17.9 . γενεαὶ γενεαὶ N-NPF 1074 γενεά ! γενεά
MT 1:17.10 . δεκατέσσαρες, δεκατέσσαρες, A-NPF 1180 δεκατέσσαρες ! δεκατέσσαρες
MT 1:17.11 . καὶ καὶ CONJ 2532 καί ! καί
MT 1:17.12 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
MT 1:17.13 . Δαυεὶδ Δαυεὶδ N-PRI 1138 Δαβίδ ! Δαυίδ
MT 1:17.14 . ἕως ἕως ADV 2193 ἕως ! ἕως
MT 1:17.15 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
MT 1:17.16 . μετοικεσίας μετοικεσίας N-GSF 3350 μετοικεσία ! μετοικεσία
MT 1:17.17 . Βαβυλῶνος Βαβυλῶνος N-GSF 897 Βαβυλών ! Βαβυλών
MT 1:17.18 . γενεαὶ γενεαὶ N-NPF 1074 γενεά ! γενεά
MT 1:17.19 . δεκατέσσαρες, δεκατέσσαρες, A-NPF 1180 δεκατέσσαρες ! δεκατέσσαρες
MT 1:17.20 . καὶ καὶ CONJ 2532 καί ! καί
MT 1:17.21 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
MT 1:17.22 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
MT 1:17.23 . μετοικεσίας μετοικεσίας N-GSF 3350 μετοικεσία ! μετοικεσία
MT 1:17.24 . Βαβυλῶνος Βαβυλῶνος N-GSF 897 Βαβυλών ! Βαβυλών
MT 1:17.25 . ἕως ἕως ADV 2193 ἕως ! ἕως
MT 1:17.26 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
MT 1:17.27 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
MT 1:17.28 . γενεαὶ γενεαὶ N-NPF 1074 γενεά ! γενεά
MT 1:17.29 . δεκατέσσαρες. δεκατέσσαρες. A-NPF 1180 δεκατέσσαρες ! δεκατέσσαρες
MT 1:18.1 P Τοῦ Τοῦ T-GSM 3588 ὁ ! ὁ
MT 1:18.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:18.3 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
MT 1:18.4 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
MT 1:18.5 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
MT 1:18.6 . γένεσις γένεσις N-NSF 1078 γένεσις ! γένεσις
MT 1:18.7 . οὕτως οὕτως ADV 3779 οὕτω ! οὕτω
MT 1:18.8 . ἦν. ἦν. V-IAI-3S 1510 εἰμί ! εἰμί
MT 1:18.9 . μνηστευθείσης μνηστευθείσης V-APP-GSF 3423 μνηστεύω ! μνηστεύω
MT 1:18.10 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
MT 1:18.11 . μητρὸς μητρὸς N-GSF 3384 μήτηρ ! μήτηρ
MT 1:18.12 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
MT 1:18.13 . Μαρίας Μαρίας N-GSF 3137 Μαρία ! Μαρία
MT 1:18.14 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
MT 1:18.15 . Ἰωσήφ, Ἰωσήφ, N-PRI 2501 Ἰωσήφ ! Ἰωσήφ
MT 1:18.16 . πρὶν πρὶν ADV 4250 πρίν ! πρίν
MT 1:18.17 . ἢ ἢ PRT 2228 ἤ ! ἤ
MT 1:18.18 . συνελθεῖν συνελθεῖν V-2AAN 4905 συνέρχομαι ! συνέρχομαι
MT 1:18.19 . αὐτοὺς αὐτοὺς P-APM 846 αὐτός ! αὐτός
MT 1:18.20 . εὑρέθη εὑρέθη V-API-3S 2147 εὑρίσκω ! εὑρίσκω
MT 1:18.21 . ἐν ἐν PREP 1722 ἐν ! ἐν
MT 1:18.22 . γαστρὶ γαστρὶ N-DSF 1064 γαστήρ ! γαστήρ
